date,num_httpsrr,perc
2023-05-08,137112,21.59890360895386
2023-05-09,137412,21.646161843701265
2023-05-10,137350,21.63639514185347
2023-05-11,137338,21.63450481246357
2023-05-12,137348,21.63608008695515
2023-05-13,137329,21.63308706542115
2023-05-14,137292,21.627258549802303
2023-05-15,137265,21.623005308675037
2023-05-16,137250,21.620642396937665
2023-05-17,137279,21.62521069296325
2023-05-18,137281,21.625525747861566
2023-05-19,137288,21.62662844000567
2023-05-20,137296,21.627888659598934
2023-05-21,137279,21.62521069296325
2023-05-22,137293,21.62741607725146
2023-05-23,137204,21.613396134276396
2023-05-24,137175,21.608827838250814
2023-05-25,137170,21.608040201005025
2023-05-26,137197,21.61229344213229
2023-05-27,137196,21.612135914683133
2023-05-28,137175,21.608827838250814
2023-05-29,137165,21.607252563759236
2023-05-30,137140,21.603314377530285
2023-05-31,137117,21.59969124619965
2023-06-01,137113,21.59906113640302
2023-06-02,137123,21.600636410894598
2023-06-03,137094,21.596068114869016
2023-06-04,137040,21.587561632614484
2023-06-05,137064,21.591342291394277
2023-06-06,137068,21.591972401190908
2023-06-07,137061,21.590869709046803
2023-06-08,137045,21.588349269860274
2023-06-09,137070,21.592287456089224
2023-06-10,136998,21.580945479749847
2023-06-11,136985,21.57889762291079
2023-06-12,137000,21.581260534648163
2023-06-13,137001,21.58141806209732
2023-06-14,136918,21.568343283817207
2023-06-15,136952,21.573699217088578
2023-06-16,136981,21.57826751311416
2023-06-17,136506,21.5034419747641
2023-06-18,136480,21.499346261085993
2023-06-19,136439,21.492887635670517
2023-06-20,136429,21.491312361178935
2023-06-21,136394,21.485798900458406
2023-06-22,136433,21.491942470975566
2023-06-23,136426,21.49083977883146
2023-06-24,136394,21.485798900458406
2023-06-25,136374,21.482648351475245
2023-06-26,136355,21.47965532994124
2023-06-27,136317,21.47366928687324
2023-06-28,136366,21.48138813188198
2023-06-29,136360,21.48044296718703
2023-06-30,136319,21.473984341771555
2023-07-01,136309,21.472409067279973
2023-07-02,136291,21.46957357319513
2023-07-03,136245,21.462327310533862
2023-07-04,136195,21.45445093807596
2023-07-05,136192,21.453978355728484
2023-07-06,136172,21.450827806745327
2023-07-07,136165,21.449725114601218
2023-07-08,136161,21.449095004804587
2023-07-09,136144,21.4464170381689
2023-07-10,136140,21.445786928372268
2023-07-11,136132,21.444526708779005
2023-07-12,136114,21.44169121469416
2023-07-13,136101,21.439643357855108
2023-07-14,136066,21.434129897134575
2023-07-15,136000,21.423733085490145
2023-07-16,136005,21.424520722735938
2023-07-17,135972,21.41932231691372
2023-07-18,135960,21.417431987523827
2023-07-19,135876,21.40419968179455
2023-07-20,135839,21.398371166175707
2023-07-21,135837,21.39805611127739
2023-07-22,135726,21.38057056442085
2023-07-23,135605,21.36150974307273
2023-07-24,135557,21.353948425513146
2023-07-25,135499,21.344811833461982
2023-07-26,135419,21.33220963752934
2023-07-27,135350,21.321340243537435
2023-07-28,135299,21.313306343630376
2023-07-29,135269,21.308580520155637
2023-07-30,135242,21.30432727902837
2023-07-31,135200,21.297711126163733
2023-08-01,134918,21.253288385501172
2023-08-02,129021,20.926826419954132
2023-08-03,129056,20.932503316929804
2023-08-04,129076,20.93574725805876
2023-08-05,129108,20.94093756386509
2023-08-06,129104,20.9402887756393
2023-08-07,129101,20.939802184469958
2023-08-08,129127,20.944019307937598
2023-08-09,129130,20.944505899106943
2023-08-10,129111,20.941424155034433
2023-08-11,129118,20.94255953442957
2023-08-12,129127,20.944019307937598
2023-08-13,129120,20.942883928542464
2023-08-14,129108,20.94093756386509
2023-08-15,129096,20.93899119918772
2023-08-16,128790,20.889358899914683
2023-08-17,128778,20.88741253523731
2023-08-18,128730,20.879627076527814
2023-08-19,128718,20.87768071185044
2023-08-20,128703,20.875247756003724
2023-08-21,128709,20.87622093834241
2023-08-22,128763,20.884979579390592
2023-08-23,128801,20.89114306753561
2023-08-24,128804,20.891629658704954
2023-08-25,128829,20.89568458511615
2023-08-26,128866,20.90168587620472
2023-08-27,128882,20.904281029107885
2023-08-28,128887,20.905092014390124
2023-08-29,128899,20.907038379067497
2023-08-30,128928,20.911742093704483
2023-08-31,128956,20.91628361128502
2023-09-01,128973,20.919040961244637
2023-09-02,128998,20.92309588765583
2023-09-03,128988,20.92147391709135
2023-09-04,128996,20.922771493542935
2023-09-05,128985,20.92098732592201
2023-09-06,129004,20.924069069994516
2023-09-07,129035,20.9290971787444
